userName;score;content;at;
Witoe Wit;2;parah si w bikin tabungan udsh bebrpa bulan gk dikirimin bukunya dsn atmnya mana di Livin ini udsh isi saldo walaupun gk seberap udah dapt notifikasi lewat email sednag dikirim malah di cancel pengiriman mana udah ada resi JNE nya,di bohongin bangettt sampe sskrg gak dpat dsn Livin gkbisa dipake karena lupa pasword ganti password harus ada nomer ATM, sednagkan ATM gk dikirim2, parah, maaf bintang 2 dulu🙏🏻;25/12/2025 07:37;
Mar Tanto;1;kalau setiap login pasti ada pembaruan sistem dan itupun lama banget bisa ampe berminggu²;25/12/2025 07:32;
syifa;5;Terimakasih Livin sangat memudahkan;25/12/2025 07:02;
Nia Maryani;3;ke banyakan upgrade ahh bikin keselll sendiri...tolong diperbaruhi;25/12/2025 06:00;
Ivan Adhi;1;masuk akal livin skrang;25/12/2025 05:50;
Bilal Putrasafri;3;kenapa sekarang ga bisa login pagi ini;25/12/2025 05:39;
Syarief Hidayat;1;pencuri uang orang miskin, orang baru dapat transferan, tiba2 ga bisa di akses. aplikasi bank digital yg kalah jauh sama yg lain, masa di uninstal ulang apk nya jd ke tampilan awal. harusnya klo yg udah punya rekening langsung ke halaman login, ini masa harus cantumkan nomer kartu bank dulu, padahal di kirim & kasih aja ga kartu fisik nya. bank digital yg aneh dari pada bank2 lain.;25/12/2025 05:34;
La al amin;4;sangat membantu;25/12/2025 05:20;
Yasir Jmc;5;mantabbb;25/12/2025 05:14;
Alfiandhy Alicya;5;baik;25/12/2025 05:13;
I Wayan Saklit;4;bagus;25/12/2025 05:04;
Harsono A.S.F;5;bagus;25/12/2025 04:49;
Risma Abidah;5;sangat bagus;25/12/2025 04:22;
Desi Ariyani;1;selalu minta upgrade , setelah diupgrade malah ga bisa dibuka ..;25/12/2025 04:03;
Budiman Tiopan;5;livin cepat dan mudah digunakan. fitur lengkap.;25/12/2025 03:43;
Putra Alan;5;nice;25/12/2025 03:22;
Irfan Maulana;3;harus upgrade trus...bosen;25/12/2025 02:25;
Dahlia Terang;5;senang nya ada livin ini,ngecek gaji lebih mudah gk perlu ke brilink, transaksi mudah,hanya saja hp saya itu klau pas memperbarui aplikasi nya harus ngapus dua aplikasi,kaya berat bnget aplikasi nya.;25/12/2025 02:14;
Muhammad SyahResa Pratama;1;kenapa tiba-tiba akun saya keluar minta password baru dan juga pakai nomor kartu atm padahal saya belum punya kartu atm malah keluar sendiri ga bisa login saldo masih ada adehh,apalagi cs nya slow respon di email slow respon bos;25/12/2025 02:00;
putra baru;5;Sangat membantu transaksi;25/12/2025 01:58;
Angga Prayoga;5;mantap pokoknya aplikasi livin by mandiri;25/12/2025 01:49;
Kamilah Ardhyantoni;1;Kalau Log in Lama sekali....apalagi uodate....paraaah...;25/12/2025 01:31;
Ali Sapawan;5;sangatlah penting dan membantu;25/12/2025 01:13;
Muhamad Ariandhika;5;cara membuka akun yang sudah kblokir karena salah masukin sandi 3× itu gimana ya ,soalnya udah 1 hari lebih gabisa dibuka,🙏;25/12/2025 00:55;
Wahyudi Guntara;1;apaansih livin mo bayar atau topup dikit-dikit pake admin dari dulu juga biasanya gratis;25/12/2025 00:50;
Ujang Supriatna;1;aplikasi susah dibuka ?;25/12/2025 00:48;
Andii Saru;5;tolong pinjaman di munculkan saya sudah menggunakan livin selama 9 tahun;25/12/2025 00:27;
Andressusanto Susanto;5;layanan bagusdan mudah;24/12/2025 23:57;
Edy Purbapurba;2;saat login pertama selalu gannguan muncul notif hapus aplikasi yg tak berguna ,,setelah itu hilang livinnya tidak bisa di gunakan;24/12/2025 23:26;
Salomina Ina;5;sangat Bagus;24/12/2025 23:03;
Putra Risa;5;bagus;24/12/2025 23:00;
Mufarrohah Ishaq;1;kenapa ya kok gak bisa di aktifkan dari rumah;24/12/2025 22:40;
Nur Muhammad Andri;3;kasih 3 dulu,ga bisa dipakai kapanpun,saran kalo maintenance aga di kurangin sehari berapa kali,misal kalo mau maintenance ya jam 12 sampe jam 1 aja selebihnya lancar;24/12/2025 19:19;
Bayuji;1;sangat buruk;24/12/2025 19:18;
Oboy Bungsu;1;kebanyakan offline mau beli makan bayar lewat qrish susah kalau dini hari;24/12/2025 19:15;
Adi Ada;2;lelet;24/12/2025 18:48;
Naura Rizqiana;1;sulit sekali untuk mendaftar terus2an harus memoto KTP;24/12/2025 18:09;
Hendrik Simamora;5;good;24/12/2025 18:00;
Febrian Bagas;1;service aja terusssss, mau transaksi penting jadi nunggu lama;24/12/2025 17:07;
Fagh firli Wildan;1;kenapa Livin nggak bisa di buka bos kuh;24/12/2025 17:03;
Dory Tiber;5;puas;24/12/2025 16:55;
Ir. H. DARMA HENDRA;" ST; MT; IPM; CST; ASEAN Eng";5;ok;24/12/2025 16:24
Jalaluddin Akbar;1;Jelek aplikasi nya hrs ny mkn lama mkin bgs eh mlh jelek;24/12/2025 16:16;
Rani Anjati;1;top ke dana gk bisa .... rebut kali pakai Livin ini. kinerja nya buruk lebih bagus pakai bca;24/12/2025 15:54;
Agiel Dzakwamufids;2;kalo maintenance jangan setiap hari + kasih notif !!;24/12/2025 15:46;
Jemianus Latu;2;akun saya tidak bisa logi sudah dua hari terjadi kk;24/12/2025 15:45;
doni saputra;5;sangat memuwas kan;24/12/2025 15:40;
Herlina Debora;1;koq aku upgrade livin di HP vivo x300pro ga bisa. kenapa ya? katanya tidak mendukung 😌;24/12/2025 15:39;
Rinto Saroh;5;saya kasih bintang 5 tapi ada sedikit masalah, yaitu dimana kartu atm saya telah terblokir, padahal udah lama gak di pake, pas di mau di pake malah terblokir, apakah pengaruh karna udah lama gak di gunakan dan saldo kosong?apakah penyebabnya begitu?;24/12/2025 15:30;
ardianus odo;5;suka;24/12/2025 15:26;
Rombengg In;5;cocok;24/12/2025 15:25;
Andre Septiawan;5;sangat membantu;24/12/2025 15:25;
Monkey D. Riss;4;"sebenarnya ini apk livin nya udah sangat² bagus pokoknya. cuma yang aku tidak suka itu, suka di update terus-terusan!!. penyimpanan HP ku sudah tidak muat. setiap mau di update tu aku harus hapus beberapa file, baik itu foto, video, musik, sampe"" aplikasi yang lain aku ikut hapus hanya untuk apk livin ini di update terus:'( jadi tolong jangan suka diupdate terus kasihan yang lain, mungkin ada yang kayk seperti saya HP nya tidak muat penyimpanan nya.";24/12/2025 15:23;
Gambitz Pro;1;ga bisa login, kocak banget ini aplikasi dari dulu ngga ada benernya;24/12/2025 15:15;
Andi ruswandi;3;kurang memuaskan kadang sering banget ga bisa transaksi;24/12/2025 14:57;
Reno Ptk;5;selalu minta pembaharuan jadi saat mau menggunakan livin terganggu dan banyak memakan waktu tolong di buat lebih baik lagi jangan selalu minta update;24/12/2025 14:47;
Hurul Aeni;5;baguss;24/12/2025 14:26;
Siti Tartilah;1;Sangat disayangkan lama login saat pembaharuan aplikasi;24/12/2025 13:50;
Widi Trisdianto;1;PARAH TEMPO PEMBAYARAN TANGGAL 4 SALDO UDH DI TAHAN DARI TANGGAL 24;24/12/2025 13:41;
Yusuf Ma;3;tolong developer app ini di tingkatkan lagi proses loading sangat lama, kalau butuh bayar Qris cepat suka bikin kesel,;24/12/2025 13:28;
Nur Anjani;5;kak mau tanya apa bisa buat ATM mandiri sendiri daftar sendiri tapi besok tgl merah buat cetak kartu tunggu kantor nya buka;24/12/2025 13:19;
arya Nurohman2747;5;ok;24/12/2025 13:15;
Muhammad Abidin;1;apk buruk selalu ga bisa login livin apalagi kalau ganti HP susahnya minta ampun;24/12/2025 12:04;
jumran Nakku;5;bagus;24/12/2025 11:56;
Hafizh Dannur Hafshah;1;Pelayanan buruk.;24/12/2025 11:53;
All Call;1;ngk bisa pindah prankat;24/12/2025 11:30;
CallMe Fir;2;ini kenapa kok aplikasinya ngeluarin rekening sendiri? saya di suruh login ulang menyertakan nomor kartu dll;24/12/2025 11:29;
Etun;5;aku suka Livin by mandiri kati kati sekarang ini Livin by mandiri kati kati sekarang ini download Livin by mandiri kati kati sekarang ini 👍👍👍👍👍👍👍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇯🇵🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨;24/12/2025 11:13;
pathan sugiantana;5;ok;24/12/2025 11:12;
Akchan 9207;3;makin aneh pas uptade, malah gak bisa tranfer ke dana, udah dari kemaren..;24/12/2025 11:10;
Muji Ono;1;gangguan mulu;24/12/2025 10:58;
Muhamad Iqbal;3;kok ga bisa tf ya ke e walet;24/12/2025 10:55;
Rusli Ana;1;Mutar2 Mulu sakit kepala;24/12/2025 10:55;
Lion Tegar;1;keseringan maintenance, susah untuk transaksi online. jadi lama nunggunya;24/12/2025 10:31;
Andry Banyak;1;ngeselin makin ribet masuk aplikasi buat login... udah vermuk udah ganti pasword tetep gagal terus.. payah bgt mana mau transfer uang gajian ... tolong dong ini knapa jadi ribet;24/12/2025 10:26;
Maya Ia;5;membantu banget ada livin tapi jangn minta upgrad terus ,tiap bbrpa bulan harus upgrade jadi menyulitkn juga buat hp ya yg kurang mendukung;24/12/2025 10:13;
Rizki Agung Prayoga;3;awal buka tapi selalu ada peringatan bahaya non aplikasi, pdhl aplikasi bawaan aman semua gue yg ngontrol aneh banged. Mau ambil uang jd ribet;24/12/2025 10:06;
Andre Saputra;1;aplikasi ribet gjls mau login aja ga bisa;24/12/2025 10:01;
Hari Yanto;1;tiba2 logout sendiri;24/12/2025 09:45;
Indra Hartawan;5;ok;24/12/2025 09:23;
Gilang Ramadhan;1;loginya susah kenapa harus pakai kartu atm, kenapa gak email atau lain2 ribet banget pokoknya klo aplikasinya Ter unistal belum sempet lihat kartu ATM trus login lagi ya gimana , tolong ini di pikirkan 🤣;24/12/2025 09:15;
Andi Irmansyah;1;mandiri aneh kita stor tunai gak ada masuk saldo hilang bikin laporan gak ada yg bantu apa apa, staf kantor gk bisa bantu, trs di ig respon sloww jadi kayak apa uangnya? kalok gak bisa kembali bilang aja jangan suruh sana sini urus apa tlpn sana sini, thank god for good karna mandiri;24/12/2025 08:55;
Fitri Hasanah;1;kenapa sekarang banyak gangguan mau tf aja susah;24/12/2025 08:32;
H Kusnadi;5;memudahkan untuk semua bersama Livin;24/12/2025 08:14;
Joko Prayitno;3;menu power cash kok sekarang gk ada ya?;24/12/2025 08:08;
Marlina Komalasari;5;udah canggih sekarang aplikasi nyah 🥰🥰🥰;24/12/2025 07:52;
Ucok Kristanto;2;gimana ya mau masuk ke aplikasi dari awal ehh setelah masukan tanggal lahir malah mental keluar sendiri 😭;24/12/2025 07:52;
Wendy Novendra;2;kenapa transfer ke dana kadang bisa kadang tak bisa , macam sangkut gitu dia . tolong perbaiki please;24/12/2025 07:41;
Sri Wariyatun;1;menurun lemot,login susah, fingers gak kedetek...masukin pswrd salah...pdhl dulunya aman ..login ulang Dnegan masukkan info kartu debit katanya salah datanya..kan gj...banyak iklan dan potongan admin neko2 juga, biaya 1 kartu 1 rekening aja banyak banget, respon admin tdk membantu juga, sangat disayangkan :);24/12/2025 07:33;
Fahrul Fahrul;5;memudahkan untuk bertransaksi;24/12/2025 07:27;
Wong Laut;3;jadi ragu...? sementara bintang 3 dulu..🙏 ulasan nasabah kok ngeri ngeri..kok banyak keluhan..? udah terlanjur daftar haduh... ya mudah mudahan aplikasi Livin beneran dari mandiri dan memperbaiki masalah masalah yg di keluhkan nasabah... semoga lebih maju dan amanah sukses selalu.;24/12/2025 07:24;
Saskia Stevani;5;sangat mudah digunakan dan bagus;24/12/2025 07:18;
Akhmad Syariffudin;5;mudah di gunakan dan praktis;24/12/2025 07:13;
Reksy Saputra;1;"Per hari ini tgl 24 Desember 2025 HP saya xiaomi Mi 9 tidak dapat membuka aplikasi livin dengan keterangan "" Sistem operasi handphone anda tidak mendukung untuk penggunaan livin. Demi keamanan, silahkan gunakan handphone dengan sistem operasi yang resmi.";24/12/2025 06:58;
Supri Supri;5;Livin ini mudah dipake tp ko kalo beberapa hari ga dipake ,setelah mau dipake ga bisa kebuka hrs updaets lg gmn caranya biar ga gini;24/12/2025 06:49;
Arlan Arif;5;good;24/12/2025 06:46;
Indah Syahreza;1;tiba tiba aja Livin nya gak mau dibuka di hp yang biasa digunakan, suka minta upgrade selalu;24/12/2025 06:42;
Teguh Aprianto;1;aplikasi buruk banget, jangan download aplikasi ini,,,, susah daftarnya, kode referral kopet,,, nyesel bgt;24/12/2025 06:30;
Misran Bamas;5;sangat membantu dan memudahkan kita untuk Bayar cicilan dan Transfer Terima kasih Livin;24/12/2025 06:25;
Sarah Rahelia;5;kok ga bisa dibuka selalu diulang ulang;24/12/2025 06:24;
Vika Holilah;4;masih kurang lengkap, blm bisa kasih bintang 5.;24/12/2025 05:25;
TUTIK LESTARI H;5;tetap nyaman;24/12/2025 05:09;
Guntur Pratama;1;kenapa saat daftar selalu muncul Yeay akun anda sudah terdaftar padahal baru di tahap foto e-KTP;24/12/2025 05:03;
Harfiani 05;4;gak bisa di buka, tolong dong di perbaiki;24/12/2025 04:56;
rudi Hartono;5;terbantu;24/12/2025 04:47;
Leonard Tamanampo;5;terbaik;24/12/2025 04:25;
Jojo Suharjo;5;mantap;24/12/2025 04:19;
Ryan Nyamana;1;gara gara rpt-02, akun di blokir, pembayaran jadi ribet, transaksi susah, mana udh 3 bulan ga ada kejelasan kapan di buka blokirnya. lama lama pindah bank juga lah;24/12/2025 04:15;
Vlido Adios Ataupah; PMC;5;jangan Terlalu banyak di Update juga ,,ini Hp beda beda,ada Yg full Memori ,bgmn pelayananx ,kalo.Urgen aplikasi digunakan harus hapus data semua untuk Update aplikasi livinx ,aplikasi untuk mempermuda bukan tiap kali diupdate trus padahal sudah ada vitur Terbaru dan masih sama jug;24/12/2025 04:08
Dhany Prasetyo;3;setiap mau masuk kembali, selalu 'Layanan tidak tersedia untuk sementara' terus, udah 4x keluar masuk, sama udah di update livin nya masih aja kaya gitu;24/12/2025 04:03;
Aleva Ses;1;"sering banget eror Livin nih..bosen..dikit"" eror...kalau ga eror pemeliharaan lah..kecewa kadang dibuat😡🤦 udh eror lgi nih aplikasi..baru td mlm eror..ampun ah...ni udh eror lgi..😡😡👎enak pakai brimo memang..";24/12/2025 03:53;
Mahrus;5;Sangat puas;24/12/2025 03:48;
Murni Ghinah;1;saya udh lama install tapi gabisa login Karena ada kendala mulu gimana yaa;24/12/2025 03:35;
Julia Ss;5;oke dech;24/12/2025 03:15;
Ridwan Soleh;1;ini kenapa aplikasinya malah force close mulu?, udah 2 hari gini terus. cek update juga ga ada;24/12/2025 03:11;
Ahmat Fatoni;5;Aplikasi sangat Berguna,memudahkan ..;24/12/2025 03:08;
Friady Edowardo;5;ok;24/12/2025 03:08;
Sarah Erwin;5;memang terbaik;24/12/2025 02:42;
yosua ch jojo;5;saya mau masuk akun. gak bisa. trus kalo mau aktifin make no kartu. saya lupa screenshot no kartu nya. bisa bantu;24/12/2025 02:33;
Herry Susanto;4;top;24/12/2025 02:32;
Muhamad rusli Dahlan;5;mantab;24/12/2025 02:31;
Hendra Novianto;5;sangat membantu. terimksih kpda Yth. Management livin Mandiri;24/12/2025 02:08;
Nikmat Maulana;5;sangat bermanfaat;24/12/2025 02:02;
raffazkaihza gumilar;5;mudah dan menyenangkan... bertransaksi;24/12/2025 02:00;
Ipuyy Ipuyykun;5;"SENGAJA KASI BINTANG 5 BIAR NAIK KEBACA SAMA ORANG..APK ANEH DIKIT DIKIT ELOR"", APALAH.";24/12/2025 01:35;
Nisvi Assyaumah;5;mantap;24/12/2025 01:21;
Arik Arik;1;kenapa akun mandiri saya tidak bisa di akses, status akun RPT-02, Cs di hubungi pun tdk ada respon, pelayanan seperti apa ini? tolong diperbaiki;24/12/2025 01:01;
Jojo Suharjo;5;sangat puas;24/12/2025 00:48;
Tika Tanaiyo;5;mandiri tidak pernah mengecewakan, segampang itu buat daftar dari aplikasi;23/12/2025 23:43;
WEGE ARTS TV;1;saya sangat kecewa..!!! blokir penarikan pinjaman beberapa bulan ini 3x cicilan.. bank kekurangan duit apa gimana? kan udh ada blokir 1x, kenapa sampai 3x cicilan yg di blokir? kecewa dengan bank mandiri,. tidak ada keterangan jelas tiba-tiba blokir 3x cicilan.. sungguh MENGECEWAKAN!!;23/12/2025 23:34;
Pandu Pebrianto;2;transaksi sering banget macet terkhusus Untuk bayar via e wallet sampai berhari hari macetnya mohon pihak developer diperbaiki lagi keluhan ini sangat menggangu sangat soalnya 🙏 sudah lama sekali masalah seperti ini dari awal saya pakai livin;23/12/2025 23:28;
Rohimah Manurung;5;mantap;23/12/2025 23:15;
Muhammad Achir;5;.kasih b5 aku suka bg saljunya 😇😇 walaupun tdk di semua page yg berubah;23/12/2025 23:12;
Yunafri Syawal;5;mantab;23/12/2025 23:00;
Muhammad Fajar;5;aplikasi bagus banget KLO bisa ada mandiri paylater LG .. aplikasi yg luar biasa mudah digunakan dan byk manfaat nya,gak ada kata nyesel download,semoga terus maju dan lebih sukses serta lebih baik lagi ..sukses trs Livin by mandiri.;23/12/2025 21:43;
Rian 275;5;baguss;23/12/2025 21:38;
Cucuk Raharjo;5;josss;23/12/2025 20:49;
eko kristanto;5;mudah dan akses cepat;23/12/2025 20:26;
Windi Harnoko;5;mantep;23/12/2025 19:14;
M. Esa.Suhada;1;ga ad perubahan gnnguan nya ampir tiap hari ada;23/12/2025 18:49;
Riyan Anggara;1;Kalo kalian mau pemeliharaan , kasih tau lah jam berapa sampe jam berapa nya . lo semua punya otak kan? . masa iya setiap ada urusan malem malem selalu gabisa di gunakan . pemeliharaan mulu tiap hari . gaberguna pemeliharaan terus boloott;23/12/2025 18:33;
agri Apriandi;2;ko tidak ada fitur pinjaman dana;23/12/2025 17:57;
Hersan Can;1;terlalu banyak iklan, penggunaan aplikasi tidak bisa cepat sesuai kebutuhan;23/12/2025 17:19;
Asep Saputra;3;ini knpa tiba tiba keluar sendiri mau login lagi kgk bisa udh seminggu kacau. udh kartu fisik kgk punya;23/12/2025 17:11;
Ryn ARZ;1;kasi jam di muasian dong;23/12/2025 16:55;
Rizki Mega;1;masak setiap minggu dikurangi saldo trs gk jelas;23/12/2025 16:45;
johan surachman;1;saldo sama rekening gua ko ga keliatan tapi bisa login.;23/12/2025 16:42;
Asepbagdad;5;susah bener buat di pake top up ke dana. nomer tidak ditemukan mulu. padahal biasanya nomernya juga itu2 doang;23/12/2025 16:42;
taryono taryono;5;susah masuk lagi gimana;23/12/2025 15:33;
Bahtiar Kasyful Wahhab Setiaji;3;mengapa saldo RDN saya tidak bisa di gunakan untuk berinvestasi? mohon segera di tindak lanjuti 🙏🏻;23/12/2025 15:28;
Syahrul Mujib;1;susah mau transfer uang gangguan ga jelas dari segi apanya ga ada costumer servis nya lagi parah nih aplikasi rusak gunanya apa update Mulu kalo transfer aja ga bisa;23/12/2025 15:13;
Piii;1;Qris selalu error!!!!!!!;23/12/2025 14:56;
hada ufe;5;bagus;23/12/2025 14:51;
Rozak Kojek;5;d bilang tidak mau ikut kredit mandiri lagi ngeyel. uda k cewa. kok waktu suda d bayar bukan berkurang. tapi namba;23/12/2025 14:48;
Indra Sembada;1;Livin saya kenapa GK bisa kirim uang...padahal saldo ada;23/12/2025 14:11;
Safri Fikas;5;ngak repot lagi kalau ingin kirim uang;23/12/2025 13:21;
Watini Tin;3;Livin kalau ganti HP baru ribet untuk masuk lagi pada m banking, gak seperti m banking tetangga. jadi banyak menyita waktu padahal sudah di input sesuai datanya;23/12/2025 13:16;
aura ananda;1;lemot banget.;23/12/2025 13:07;
Luis jehamin;5;sangat membantu;23/12/2025 12:58;
Budi Santoso;1;APK PALING RIBET SEDUNIA BUAT VERIVIKASI NGABISIN WAKTU SETENGAH JAM JELEK ABIS HAMPIS SELESAI LIAT RATING ORANG2 PADA JELEK LANGSUNG UNINSTAL AJA LAH BIKIN NAIK DARAH HARUSNYA RATING 0 BINTANG;23/12/2025 12:46;
Dimas Aditia;1;semakin di update semakin jelek. mau narik eror karna suruh atur jam tanggal otomatis. gimanaa di HP udh otomatis kan paok lah;23/12/2025 12:17;
Titis Prasetyo;5;okok;23/12/2025 12:08;
Herman Mirin888;5;terbaik;23/12/2025 12:05;
Andry Hutasoit;2;terlalu sering gangguan jdi gabisa transfer. ini permasalahan dari dulu, knpa tidak diperbaiki?;23/12/2025 11:44;
Bagus Indra;1;bikin malu aja lama lama ,mau bayar makan pakai qris lewat livin tapi ga bisa login padahal internet bagus,terpaksa minta tolong temen;23/12/2025 11:31;
Sinta Amelia;5;setelah di update kok malah gak bisa masuk yaa, masak udah di menu keluar lagi;23/12/2025 11:15;
Jamaludin Pratama;5;membantu 👍;23/12/2025 10:42;
Citra Ayu Lestari;1;login nya lama bet busetttt apalagi kalau di kasir.;23/12/2025 10:38;
Eko;5;ok;23/12/2025 10:27;
Eliyah Mawardhani;1;livin baik;23/12/2025 10:26;
Risky Bungkol;5;Maaf saya ada kendala saat mau login layar hp tidak mau di ketik waktu masukan sandi;23/12/2025 10:11;
Risma Saputra;5;dengan aplikasi Livin mudah untuk transaksi;23/12/2025 09:40;
Hadi Maryono;4;manfaat sekali;23/12/2025 09:23;
Chef Tio;5;mantap;23/12/2025 09:17;
hasbudi lahudi;4;mempermudah transaksi;23/12/2025 09:10;
Dadang Suryana;1;sering error;23/12/2025 09:03;
Yusak Malengati;1;kenapa terlalu banyak kali di perbarui;23/12/2025 08:29;
Firman Wawo;5;mudah dan cepat;23/12/2025 08:16;
Misih Khoiriah;1;kenapa pas daftar online tidak bisa verifikasi wajah?;23/12/2025 08:03;
Asep Edi (Ncek Cecep);1;Bayar belanja di toko onlen, kena biaya... ngaco.. padahal dulu mah kagak...;23/12/2025 07:38;
nadia fajria;5;terimakasih atas layanan terbaiknya 👍 tp kadang repot juga kalo pas upgrade tp memori HP penuh 😭 andai aja aplikasi egk harus upgrade berkala pasti enak banget;23/12/2025 07:34;
Rahmat Kurnia;5;kenapa tidak bisa di unduh;23/12/2025 07:30;
andri Yanto;1;verivikasi berulang ulang tetap suruh ganti pasword dan pin.ujung² nya tetap gitu terus;23/12/2025 07:25;
Naila Fardhan;5;bagus;23/12/2025 06:18;
Ihsan Syahrul Ramadhan (Sanzherby);1;ngelag mulu masuk apk padahal wifi lancar gaje bgt;23/12/2025 05:56;
Saef Ulloh;5;cpat nyaman;23/12/2025 05:46;
Nur Hotib;5;aplikasi yg sangat bagus,JD buat transfer dan transaksi jauh lebih muda, mantap 👍;23/12/2025 05:37;
Pengguna Google;1;punya aku kenapa tdk jadi udah di verifikasi tapi knp keluar lgi apk nya, udah di masukin semua data data ku tapi tetap keluar sendiri apknya, di bantu dong😡😡😡;23/12/2025 05:34;
Afif;5;Sangat membantu pengelolaan keuangan saya hingga saat ini. Semoga update terbaru ada tambahan fitur yg semakin menarik. Thank's livin by mandiri. Terima kasih bank Mandiri.;23/12/2025 05:17;
Dadang Zaenudin;5;ok;23/12/2025 04:45;
Bulan Haji;1;pelayanan call center mandiri dan pelayanan kantor cabang rengas Dengklok Karawang sangat buruk terhadap nasabah atau konsumen;23/12/2025 04:37;
Jaya Muhammad Darwis;5;Alhamdulilah membantu banget saat ada transferan jadi bisa lihat dengan mudah, terimakasih livin by mandiri semoga tambah jaya;23/12/2025 04:35;
Pinky Prayogo;5;bagus;23/12/2025 04:32;
Ardian Putra;5;sangat membantu saya dalam hal keuangan seperti cek saldo transfer serta memberikan kemudahan bagu saya;23/12/2025 04:11;
Homis Maxwin;1;kartu debit saya di titipkan di siapa ya , status di terima atas nama saya tapi saya tidak menerima nya?????? sekali LG saya katakan saya tidak menerimanya. Laen kali aku usul kau Livin ya fotokan siapa yg menerima😡 masa jaman canggih gaada foto buktinya siapa yg nerima;23/12/2025 03:53;
Siti Rumini;5;good;23/12/2025 03:52;
Sonny Aneka;5;good;23/12/2025 03:50;
Nuranisa Nasution;1;knp livin gk bisa di buka makin sulit untuk bertransaksi;23/12/2025 03:27;
Agus Suparman;5;sangat membantu Livin by mandiri lebih mudah;23/12/2025 03:15;
Su Yadi;5;membantu transaksi lebih cepat;23/12/2025 03:08;
Rika Windayati;2;banyak potongan potongan bulanan mahal apalagi tengah bulan potongan lagi debit;23/12/2025 02:22;
Nita Jariah;5;good;23/12/2025 02:19;
Muhammad Muhammad;5;mempermudah urusan, semoga aplikasi ini tetap terjaga keamanannya.;23/12/2025 01:59;
Fadli Mubarok;5;min gimana kok mau tf di livin tulisannya belum terdaftar;23/12/2025 01:23;
Muh Rizieq;4;sebenrnya ini livin bagus and ngebantu bngt cuma minusnya kebanyakan update gitu jdi aga repot dikit apalagi hp ini ram nya kecil juga;23/12/2025 01:18;
YantiYanti Nizar;5;bagus;23/12/2025 01:04;
Rusli Duha;2;kenapa aplikasinya tidak bisa di gunakan ya;23/12/2025 00:47;
Dhea Fitria;1;terlalu sering update;23/12/2025 00:27;
Koko yan;5;mantap;23/12/2025 00:13;
Palupi Indrie;1;kenapa aplikasi nya ga bisa dibuka ya dari kemaren ,smp q hapus q download lg ttp ga bisa ke buka ,please gimana ini livin aplikasi nya ???;22/12/2025 23:03;
Nadia Noer;5;oke;22/12/2025 20:50;
Kurniawan 123;3;mudah untuk digunakan tapai sangat syang klo mau transfer malem hari selalu gabisa sangat kecewa;22/12/2025 19:55;
Sutrisno Sutris;1;sy kecewa dengan livin,setiap transaksi via cris selalu dipersulit,,,!;22/12/2025 19:02;
Muhammad Tigor;5;kenapa setiap malam mau transfer tidak bisa min, terimakasih min sudah bisa cepat direspon 🙏;22/12/2025 18:58;
Nugroho12 Iseng;1;kebanyaan gangguan klo malem;22/12/2025 18:36;
Natali Fani;1;sudah seminggu saya tidak bisa buka aplikasi ini,, internet lancar. jaringan ada.., tp tetap tidak bisa.;22/12/2025 17:44;
Ahmad Rifai;1;terlalu banyak gangguan;22/12/2025 17:40;
Rizky Ismoyo;3;iya nih..udah download aplikasi...malah update upgrade setiap bulan...jadi malah GX bisa dipakai. cb tak hapus ,mulai download aplikasi.a malah loading trus...hadehhh;22/12/2025 17:20;
Meis Corline;1;Baik;22/12/2025 17:17;
Fajar Palahudin;1;apk tidak jelas. mau transaksi ada aja halangannya;22/12/2025 17:13;
Yusuf Nayla;5;top markotop;22/12/2025 17:06;
Bowo Purwanto;5;layanan lancar dan baik;22/12/2025 17:00;
Agusno Merongke;5;mantap saya suka cara pelayannya debes;22/12/2025 16:31;
Bunda Gendis;4;tolong dong, untuk pemeliharaan sistem diubah jam nya, harusnya diatas jam 00:00 . karena saya jadi sulit transaksi di jam 23.00 . padahal banyak yang harus saya bayarkan.;22/12/2025 16:02;
Toety Arfikarahayu;1;nggk bis buat daftar gimana sii...pen ngangis bngt😭;22/12/2025 15:55;
Qurdis Lestari;5;mudah untuk registrasi dan cepat;22/12/2025 15:54;
Khoiri Mufid;5;mudah,enak,tpi sering di telfon geter;22/12/2025 15:52;
